year,make,model,body style,miles,price,exterior color,interior color
2015,Nissan,GT-R,Premium,"41,680",88995 ,White,Black
2015,Nissan,GT-R,Premium,"58,301",80000 ,Silver,Black
2015,Audi,RS 5,Coupe,"75,383",38900 ,Gray,Black
2015,BMW,M4,Coupe,"58,395",42118 ,Black,Orange
2015,BMW,M4,Convertible,"33,126",45499 ,White,Red
2015,Nissan,GT-R,Premium,"57,933",69950 ,Unknown,Black
2015,BMW,M4,Coupe,"100,409",30000 ,Black,Red
2015,BMW,M4,Coupe,"54,835",42999 ,Orange,Unknown
2015,Nissan,GT-R,Black Edition,"13,482",99900 ,Gray,Black
2015,Audi,RS 5,Cabriolet,"71,971",45695 ,Gray,Black
2015,Nissan,GT-R,Premium,"58,702",88991 ,White,Black
2015,Nissan,GT-R,Premium,"40,155",89900 ,Gray,Black
2015,Audi,RS 5,Coupe,"49,833",44990 ,Black,Black
2015,Audi,RS 5,Coupe,"81,557",38995 ,Gray,Black
2015,Audi,RS 5,Coupe,"103,938",37991 ,Black,Black
2015,Nissan,GT-R,Premium,"37,559",83888 ,Silver,Black
2015,Nissan,GT-R,Black Edition,"52,815",75998 ,Black,Black
2015,Nissan,GT-R,Premium,"41,501",83000 ,Gray,Red
2015,BMW,M4,Coupe,"23,589",47499 ,Silver,Gray
2015,BMW,M4,Coupe,"50,022",40999 ,White,Black
2015,BMW,M4,Coupe,"53,358",42999 ,White,Red
2015,BMW,M4,Convertible,"27,248",46998 ,Gray,Red
2015,Nissan,GT-R,Premium,"35,805",88578 ,Black,Beige
2015,Nissan,GT-R,Black Edition,"40,895",80500 ,Gray,Black
2015,Nissan,GT-R,Premium,"38,763",89000 ,Black,Black
2015,Nissan,GT-R,Premium,"76,000",79900 ,Orange,Unknown
2015,Nissan,GT-R,Premium,"11,037",99999 ,White,Red
2015,BMW,M4,Coupe,"48,801",43590 ,Gray,Black
2015,Nissan,GT-R,Premium,"67,313",82888 ,Red,Black
2015,BMW,M4,Coupe,"44,480",44590 ,White,Black
2015,Nissan,GT-R,NISMO,"2,175",184999 ,Gray,Red
2015,Nissan,GT-R,Premium,"45,658",78777 ,Gray,Black
2015,BMW,M4,Coupe,"59,701",43999 ,Yellow,Black
2015,Nissan,GT-R,Premium,"42,124",89991 ,Black,Black
2016,Nissan,GT-R,Premium,"16,057",96991 ,Gray,Black
2016,Nissan,GT-R,Premium,"6,252",98900 ,White,Red
2016,Nissan,GT-R,Premium,"23,329",87990 ,Black,Beige
2016,Nissan,GT-R,Black Edition,"7,472",158990 ,White,Black
2016,Nissan,GT-R,NISMO,"16,306",149900 ,Black,Black
2016,Nissan,GT-R,Black Edition,"44,532",89995 ,White,Black
2016,Nissan,GT-R,Premium,"59,157",79790 ,Blue,Unknown
2016,Nissan,GT-R,Premium,"37,899",82893 ,Silver,Beige
2016,Nissan,GT-R,Black Edition,"26,965",98995 ,Blue,Black
2016,BMW,M4,Coupe,"44,029",46998 ,Silver,Black
